,level_0,index,time,Slope,PID,condition,method,ss,Target
0,0,0,-200,0.19104341371999034,0,N1,Observed,1,target
1,1,1,-176,0.16035423530479154,0,N1,Observed,1,target
2,2,2,-152,0.027018967507223327,0,N1,Observed,1,target
3,3,3,-128,-0.16205120798502018,0,N1,Observed,1,target
4,4,4,-104,-0.2770139770035888,0,N1,Observed,1,target
5,5,5,-80,-0.33737474519408,0,N1,Observed,1,target
6,6,6,-56,-0.34560119069066597,0,N1,Observed,1,target
7,7,7,-32,-0.27416328505932736,0,N1,Observed,1,target
8,8,8,-8,-0.08422510472705004,0,N1,Observed,1,target
9,9,9,16,0.20183704162640684,0,N1,Observed,1,target
10,10,10,40,0.2800895186808849,0,N1,Observed,1,target
11,11,11,64,0.05333004564041113,0,N1,Observed,1,target
12,12,12,88,-0.1821971451227573,0,N1,Observed,1,target
13,13,13,112,-0.33260536999736495,0,N1,Observed,1,target
14,14,14,136,-0.4335549320580938,0,N1,Observed,1,target
15,15,15,160,-0.48762771058455573,0,N1,Observed,1,target
16,16,16,184,-0.5316993147790547,0,N1,Observed,1,target
17,17,17,208,-0.5805764233388192,0,N1,Observed,1,target
18,18,18,232,-0.5769869875895021,0,N1,Observed,1,target
19,19,19,256,-0.513607509018287,0,N1,Observed,1,target
20,20,20,280,-0.47787912216306455,0,N1,Observed,1,target
21,21,21,304,-0.49084993353123707,0,N1,Observed,1,target
22,22,22,328,-0.5118245811292538,0,N1,Observed,1,target
23,23,23,352,-0.5061495371741889,0,N1,Observed,1,target
24,24,24,376,-0.44052418282114353,0,N1,Observed,1,target
25,25,25,400,-0.31257314593897695,0,N1,Observed,1,target
26,26,26,424,-0.2707692640925408,0,N1,Observed,1,target
27,27,27,448,-0.3440147540478912,0,N1,Observed,1,target
28,28,28,472,-0.4350319919118533,0,N1,Observed,1,target
29,29,29,496,-0.4866155781381362,0,N1,Observed,1,target
30,30,30,520,-0.547365640765911,0,N1,Observed,1,target
31,31,31,544,-0.6201422236290478,0,N1,Observed,1,target
32,32,32,568,-0.6494566894804463,0,N1,Observed,1,target
33,33,33,592,-0.6200663474217478,0,N1,Observed,1,target
34,34,34,616,-0.5650875269081687,0,N1,Observed,1,target
35,35,35,640,-0.529756182508505,0,N1,Observed,1,target
36,36,36,664,-0.5359771900443939,0,N1,Observed,1,target
37,37,37,688,-0.5653326823148213,0,N1,Observed,1,target
38,38,38,712,-0.6066408316721713,0,N1,Observed,1,target
39,39,39,736,-0.6258664131497044,0,N1,Observed,1,target
40,40,40,760,-0.5993044728137455,0,N1,Observed,1,target
41,41,41,784,-0.524897529280006,0,N1,Observed,1,target
42,42,42,808,-0.4302030702309074,0,N1,Observed,1,target
43,43,43,832,-0.33163799850359166,0,N1,Observed,1,target
44,44,44,856,-0.2613616034171364,0,N1,Observed,1,target
45,45,45,880,-0.2788535128937662,0,N1,Observed,1,target
46,46,46,904,-0.3936088885684417,0,N1,Observed,1,target
47,47,47,928,-0.48949474694087797,0,N1,Observed,1,target
48,48,48,952,-0.4615913607400675,0,N1,Observed,1,target
49,49,49,976,-0.32236204713734073,0,N1,Observed,1,target
50,100,200,-200,0.07144255580056295,1,N1,Observed,1,target
51,101,201,-176,-0.030002326191811268,1,N1,Observed,1,target
52,102,202,-152,0.016112793831133926,1,N1,Observed,1,target
53,103,203,-128,0.04660466485303721,1,N1,Observed,1,target
54,104,204,-104,-0.08125183804361985,1,N1,Observed,1,target
55,105,205,-80,-0.23209707173338567,1,N1,Observed,1,target
56,106,206,-56,-0.32481072864251465,1,N1,Observed,1,target
57,107,207,-32,-0.2814992509601388,1,N1,Observed,1,target
58,108,208,-8,-0.10935196856031672,1,N1,Observed,1,target
59,109,209,16,0.03289883415128819,1,N1,Observed,1,target
60,110,210,40,0.09340531353426347,1,N1,Observed,1,target
61,111,211,64,0.10494882563099832,1,N1,Observed,1,target
62,112,212,88,0.07765497481634027,1,N1,Observed,1,target
63,113,213,112,0.0012663024367038644,1,N1,Observed,1,target
64,114,214,136,-0.17112861494628026,1,N1,Observed,1,target
65,115,215,160,-0.42749244499430716,1,N1,Observed,1,target
66,116,216,184,-0.6350621726344664,1,N1,Observed,1,target
67,117,217,208,-0.7381621276709036,1,N1,Observed,1,target
68,118,218,232,-0.7263068742384552,1,N1,Observed,1,target
69,119,219,256,-0.609119647730083,1,N1,Observed,1,target
70,120,220,280,-0.44274883283699173,1,N1,Observed,1,target
71,121,221,304,-0.2508933093270577,1,N1,Observed,1,target
72,122,222,328,-0.2582886686426319,1,N1,Observed,1,target
73,123,223,352,-0.3335670037387579,1,N1,Observed,1,target
74,124,224,376,-0.3693269396488019,1,N1,Observed,1,target
75,125,225,400,-0.4510913983091723,1,N1,Observed,1,target
76,126,226,424,-0.49353153852514736,1,N1,Observed,1,target
