,time,Slope,PID,condition,method
0,-200,-0.10543060708172634,0,ss1_sim,Observed
1,-176,-0.14766335012175233,0,ss1_sim,Observed
2,-152,-0.12124184478662625,0,ss1_sim,Observed
3,-128,-0.048959640751634566,0,ss1_sim,Observed
4,-104,-0.0294070591121469,0,ss1_sim,Observed
5,-80,-0.03411973294129945,0,ss1_sim,Observed
6,-56,-0.018610892897280237,0,ss1_sim,Observed
7,-32,0.032880060386769334,0,ss1_sim,Observed
8,-8,0.08784193545643922,0,ss1_sim,Observed
9,16,0.12491183080891359,0,ss1_sim,Observed
10,40,0.10094485721153784,0,ss1_sim,Observed
11,64,0.08618543869615625,0,ss1_sim,Observed
12,88,0.10263425999466336,0,ss1_sim,Observed
13,112,0.11473589500981189,0,ss1_sim,Observed
14,136,0.16530398904286625,0,ss1_sim,Observed
15,160,0.19297950186902146,0,ss1_sim,Observed
16,184,0.1666898228553528,0,ss1_sim,Observed
17,208,0.11480460544946207,0,ss1_sim,Observed
18,232,0.09810260801767694,0,ss1_sim,Observed
19,256,0.09000218702454062,0,ss1_sim,Observed
20,280,0.006842662617343961,0,ss1_sim,Observed
21,304,-0.011636039940982347,0,ss1_sim,Observed
22,328,0.005355983421826871,0,ss1_sim,Observed
23,352,-0.03815098211601417,0,ss1_sim,Observed
24,376,-0.04921484599577097,0,ss1_sim,Observed
25,400,-0.06413228246300365,0,ss1_sim,Observed
26,424,-0.07745150017023282,0,ss1_sim,Observed
27,448,-0.0929268248816118,0,ss1_sim,Observed
28,472,-0.13777542052912395,0,ss1_sim,Observed
29,496,-0.08929312044550741,0,ss1_sim,Observed
30,520,-0.0010328432404729225,0,ss1_sim,Observed
31,544,0.03270603697065658,0,ss1_sim,Observed
32,568,0.03214514609508462,0,ss1_sim,Observed
33,592,-0.015282826316879605,0,ss1_sim,Observed
34,616,-0.0840889649413998,0,ss1_sim,Observed
35,640,-0.1159649457778396,0,ss1_sim,Observed
36,664,-0.08696247980703342,0,ss1_sim,Observed
37,688,-0.03395847614582139,0,ss1_sim,Observed
38,712,0.023404910643632173,0,ss1_sim,Observed
39,736,0.09694396143807378,0,ss1_sim,Observed
40,760,0.15273568843610083,0,ss1_sim,Observed
41,784,0.16675387528653193,0,ss1_sim,Observed
42,808,0.17144621861635664,0,ss1_sim,Observed
43,832,0.20334689171097362,0,ss1_sim,Observed
44,856,0.2666998579094456,0,ss1_sim,Observed
45,880,0.3027569319949606,0,ss1_sim,Observed
46,904,0.2544774993793812,0,ss1_sim,Observed
47,928,0.1166740800115202,0,ss1_sim,Observed
48,952,-0.01596719862776896,0,ss1_sim,Observed
49,976,-0.0932820645780747,0,ss1_sim,Observed
50,-200,-0.09363347150642841,0,ss2,Observed
51,-176,-0.11826004304378364,0,ss2,Observed
52,-152,-0.04617803265083548,0,ss2,Observed
53,-128,0.10094387731699046,0,ss2,Observed
54,-104,0.2046342842190223,0,ss2,Observed
55,-80,0.24976364592053257,0,ss2,Observed
56,-56,0.256233574213846,0,ss2,Observed
57,-32,0.21442498138406577,0,ss2,Observed
58,-8,0.16315877183722857,0,ss2,Observed
59,16,0.09269990604175711,0,ss2,Observed
60,40,-0.037783476378260884,0,ss2,Observed
61,64,-0.060209914250842655,0,ss2,Observed
62,88,-0.017164412142342312,0,ss2,Observed
63,112,0.014603053343074266,0,ss2,Observed
64,136,0.06185926794855718,0,ss2,Observed
65,160,0.09524896068158341,0,ss2,Observed
66,184,0.08721576504148303,0,ss2,Observed
67,208,0.045938055341845606,0,ss2,Observed
68,232,0.00442381065867489,0,ss2,Observed
69,256,0.04966914410883524,0,ss2,Observed
70,280,0.09626705465188651,0,ss2,Observed
71,304,0.10229903191419219,0,ss2,Observed
72,328,0.0767352460484294,0,ss2,Observed
73,352,0.04805469436264808,0,ss2,Observed
74,376,0.0347524799934539,0,ss2,Observed
75,400,-0.007631488345609262,0,ss2,Observed
76,424,-0.03024157154771125,0,ss2,Observed
77,448,-0.01453736746919669,0,ss2,Observed
78,472,0.0180924763242706,0,ss2,Observed
79,496,0.09096684264482686,0,ss2,Observed
80,520,0.1319805301281788,0,ss2,Observed
81,544,0.15084453948741874,0,ss2,Observed
82,568,0.1366691268164424,0,ss2,Observed
83,592,0.10280783389940025,0,ss2,Observed
84,616,0.012447794674457833,0,ss2,Observed
85,640,-0.06549698913332175,0,ss2,Observed
86,664,-0.05569648056045116,0,ss2,Observed
87,688,-0.04135450134449026,0,ss2,Observed
88,712,-0.048217601149481946,0,ss2,Observed
89,736,-0.050943821638560566,0,ss2,Observed
90,760,0.017413694554652807,0,ss2,Observed
91,784,0.13068708367247775,0,ss2,Observed
92,808,0.22163387502503196,0,ss2,Observed
93,832,0.2564254774941772,0,ss2,Observed
94,856,0.2495700877764849,0,ss2,Observed
95,880,0.22406846063268795,0,ss2,Observed
96,904,0.17339895545302267,0,ss2,Observed
97,928,0.09164221565390973,0,ss2,Observed
98,952,0.014638052204234135,0,ss2,Observed
99,976,-0.04617038851991557,0,ss2,Observed
100,-200,-0.022654504757855732,0,ss1_sim,Shuffled
101,-176,-0.014581482208833171,0,ss1_sim,Shuffled
102,-152,0.0227418828126341,0,ss1_sim,Shuffled
103,-128,0.000177103374902643,0,ss1_sim,Shuffled
104,-104,0.00575392688606019,0,ss1_sim,Shuffled
105,-80,-0.018919156944353737,0,ss1_sim,Shuffled
106,-56,0.024884454733038106,0,ss1_sim,Shuffled
107,-32,-0.035642322196707654,0,ss1_sim,Shuffled
108,-8,0.05875992013796866,0,ss1_sim,Shuffled
109,16,0.014331107701296928,0,ss1_sim,Shuffled
110,40,-0.059788376774863906,0,ss1_sim,Shuffled
111,64,0.010238838306812601,0,ss1_sim,Shuffled
112,88,-0.0287231782606832,0,ss1_sim,Shuffled
113,112,-0.01014235834051011,0,ss1_sim,Shuffled
114,136,0.021727176548427304,0,ss1_sim,Shuffled
115,160,0.002674493412216468,0,ss1_sim,Shuffled
116,184,0.004149321583726701,0,ss1_sim,Shuffled
117,208,0.022584921026181665,0,ss1_sim,Shuffled
118,232,0.04859828979488828,0,ss1_sim,Shuffled
119,256,-0.0001848086850716977,0,ss1_sim,Shuffled
120,280,0.0030292155177978016,0,ss1_sim,Shuffled
121,304,0.009660039037546442,0,ss1_sim,Shuffled
122,328,-0.016341095290712416,0,ss1_sim,Shuffled
123,352,0.0035013855547333535,0,ss1_sim,Shuffled
124,376,-0.0060805862222030604,0,ss1_sim,Shuffled
125,400,-0.022175775155178674,0,ss1_sim,Shuffled
126,424,0.0038187638423437717,0,ss1_sim,Shuffled
127,448,-0.04422994550293669,0,ss1_sim,Shuffled
128,472,-0.0464786811959307,0,ss1_sim,Shuffled
129,496,-0.010281694199146141,0,ss1_sim,Shuffled
130,520,-0.006479896842877042,0,ss1_sim,Shuffled
131,544,0.011622455636824744,0,ss1_sim,Shuffled
132,568,0.025642270417478994,0,ss1_sim,Shuffled
133,592,-0.021617338618664095,0,ss1_sim,Shuffled
134,616,-0.012054927490033946,0,ss1_sim,Shuffled
135,640,0.020393090489919104,0,ss1_sim,Shuffled
136,664,0.03049275889344616,0,ss1_sim,Shuffled
137,688,0.026860367234996796,0,ss1_sim,Shuffled
138,712,-0.04229167338946058,0,ss1_sim,Shuffled
139,736,0.010015437006610091,0,ss1_sim,Shuffled
140,760,-0.007136615387204732,0,ss1_sim,Shuffled
141,784,-0.004454573574065856,0,ss1_sim,Shuffled
142,808,0.0253520768400352,0,ss1_sim,Shuffled
143,832,0.003924016295499505,0,ss1_sim,Shuffled
144,856,-0.030741930334414174,0,ss1_sim,Shuffled
145,880,-0.004664218341069726,0,ss1_sim,Shuffled
146,904,-0.005245244012917566,0,ss1_sim,Shuffled
147,928,0.045938841845785026,0,ss1_sim,Shuffled
148,952,0.03045996769195306,0,ss1_sim,Shuffled
149,976,-0.005425956424807259,0,ss1_sim,Shuffled
150,-200,-0.023487443778372027,0,ss2,Shuffled
151,-176,0.01498952552021996,0,ss2,Shuffled
152,-152,-0.03901054681293871,0,ss2,Shuffled
153,-128,0.050937832115605736,0,ss2,Shuffled
154,-104,0.05542688479808295,0,ss2,Shuffled
155,-80,0.003650435015644786,0,ss2,Shuffled
156,-56,0.004813415070349924,0,ss2,Shuffled
157,-32,-0.013635246869206913,0,ss2,Shuffled
158,-8,-0.027524453172222945,0,ss2,Shuffled
