,level_0,index,time,Slope,PID,condition,method,Target,ss,label,label_all,Time Period,Time
0,0,0,-200,-0.04115625031169407,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
1,1,1,-176,-0.1785798918169795,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
2,2,2,-152,-0.1757171854071492,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
3,3,3,-128,-0.09392031124140443,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
4,4,4,-104,-0.050670196536017224,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
5,5,5,-80,0.03645213898923633,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
6,6,6,-56,0.0936685760987928,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
7,7,7,-32,0.06646598877002209,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
8,8,8,-8,0.03464567669850182,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
9,9,9,16,0.0606669619186273,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
10,10,10,40,0.08794398270873,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
11,11,11,64,0.04543065908608559,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
12,12,12,88,-0.0027144129788952893,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
13,13,13,112,0.013356784621925485,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
14,14,14,136,0.06722246353831075,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
15,15,15,160,0.11664956922137337,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
16,16,16,184,0.13914646324698865,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
17,17,17,208,0.13668026694636934,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
18,18,18,232,0.10479588299660847,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
19,19,19,256,0.04535027783296052,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
20,20,20,280,0.008910184129556908,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
21,21,21,304,-0.025663400656084894,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
22,22,22,328,-0.03913156871016755,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
23,23,23,352,-0.011615297331306888,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
24,24,24,376,0.011878993485464534,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
25,25,25,400,0.019826903909129286,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
26,26,26,424,0.0534427214097529,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
27,27,27,448,0.07645002340333938,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
28,28,28,472,0.07903753502623312,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
29,29,29,496,0.05649268444329026,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
30,30,30,520,0.0323778690910994,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
31,31,31,544,0.02432773026476044,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
32,32,32,568,0.04358126748347043,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
33,33,33,592,0.09777757365191543,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
34,34,34,616,0.14170487060188844,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
35,35,35,640,0.15459996418773234,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
36,36,36,664,0.15459114409877062,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
37,37,37,688,0.15532666461287542,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
38,38,38,712,0.2014792720068869,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
39,39,39,736,0.2451131660271072,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
40,40,40,760,0.2680806864422043,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
41,41,41,784,0.24244363000756217,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
42,42,42,808,0.18810951508302287,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
43,43,43,832,0.1344993672232286,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
44,44,44,856,0.10039740386969966,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
45,45,45,880,0.07375858423711705,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
46,46,46,904,0.04528030687620208,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
47,47,47,928,-0.02044798599275993,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
48,48,48,952,-0.0462798970328564,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
49,49,49,976,0.009454957395799225,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
50,100,200,-200,0.05926129623535236,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
51,101,201,-176,0.04946560189450239,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
52,102,202,-152,-0.016449651366841598,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
53,103,203,-128,-0.07542150851254413,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
54,104,204,-104,-0.10876403290412552,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
55,105,205,-80,-0.11285056033770774,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
56,106,206,-56,-0.08887939483869173,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
57,107,207,-32,-0.03950016338771629,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
